driver,value,tickets,repeat_rate,lift_vs_base
status,closed,1107,0.10840108401084012,0.9864673767900847
status,resolved,10159,0.11005020179151491,1.001474615010668
channel,chat,4901,0.10875331564986737,0.9896727416085669
channel,email,3618,0.11138750690989498,1.0136443076307566
channel,social,1141,0.11218229623137599,1.020877018855155
channel,voice,1606,0.10834371108343711,0.9859452738820699
had_transfer,False,10285,0.11171609139523578,1.0166344795304736
had_transfer,True,981,0.09072375127421,0.8256007930979401
junk_note,False,9751,0.11321915700953748,1.0303126194422045
junk_note,True,1515,0.08844884488448845,0.8048987774383255
bot_tag_other,False,9649,0.11607420458078557,1.0562940135760341
bot_tag_other,True,1617,0.07297464440321583,0.6640810531879076
priority,High,1943,0.1029336078229542,0.9367124602046867
priority,Low,1270,0.1078740157480315,0.98167097045018
priority,Normal,8053,0.11188377002359369,1.018160382137162
family,Account & Login,336,0.0,0.0
family,App & Firmware,741,0.1282051282051282,1.1666873783190421
family,Audio Quality,875,0.152,1.3832245557350566
family,Billing & Payments,1599,0.09505941213258287,0.8650560073389973
family,Charging & Battery,931,0.1385606874328679,1.260924640241268
family,Connectivity,1262,0.13391442155309033,1.218642870126911
family,Delivery & Shipping,2452,0.12438825448613376,1.1319532108568522
family,Hardware Fault,262,0.12595419847328243,1.1462035541195477
family,Product Enquiry,612,0.0,0.0
family,Returns & Refunds,1853,0.09660010793308149,0.8790765880243103
family,Warranty & Repair,343,0.12536443148688048,1.1408365792659092
